# frameNo,time,energy,intensity,sonorantEnergy,sonorantIntensity,band2to20Energy,band2to20Intensity,band1Intensity,band2Intensity,band3Intensity,band4Intensity,band1overlapInten,band2overlapInten,band3overlapInten,band4overlapInten,band1vaishaliInten,band2vaishaliInten,band3vaishaliInten,band4vaishaliInten,spectralTilt
0.00000,0.00000,0.00100,-30.00000,0.00050,-33.01030,0.00050,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,0.00000
1.00000,0.01000,0.00100,-30.00000,0.00050,-33.01030,0.00050,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,0.00000
2.00000,0.02000,0.00100,-30.00000,0.00050,-33.01030,0.00050,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,0.00000
3.00000,0.03000,0.00100,-30.00000,0.00050,-33.01030,0.00050,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,0.00000
4.00000,0.04000,0.00100,-30.00000,0.00050,-33.01030,0.00050,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,0.00000
5.00000,0.05000,0.00100,-30.00000,0.00050,-33.01030,0.00050,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,0.00000
6.00000,0.06000,0.00100,-30.00000,0.00050,-33.01030,0.00050,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,0.00000
7.00000,0.07000,0.00106,-29.74963,0.00088,-30.57949,0.00096,-30.17018,-33.01030,-33.01030,-33.01030,-33.01030,-33.01030,-32.67519,-33.01030,-33.01030,-33.01030,-32.70074,-33.01030,-33.01030,0.00000
8.00000,0.08000,0.00200,-26.99142,0.00170,-27.68945,0.00185,-27.32246,-33.01030,-33.01030,-33.01030,-32.62132,-30.58369,-29.78882,-31.33684,-33.01030,-33.01030,-29.82107,-32.52586,-33.01030,0.00000
9.00000,0.09000,0.00347,-24.60008,0.00293,-25.32461,0.00319,-24.95580,-33.01030,-33.01030,-33.01030,-30.50215,-28.03060,-27.56670,-29.20349,-33.01030,-33.01030,-27.28892,-30.39540,-33.01030,1.31264
