centerFrame,time,zeroCross,intensity,autoCorr,LPC1,error,bandRatio,HNR
0,0.00000,,,,,,,-200.00000
1,0.01000,205.00000,-60.57920,-0.87022,1.93197,-4.82256,0.00000,-200.00000
2,0.02000,202.00000,-59.88848,-0.87276,1.70556,-4.55852,0.00000,-200.00000
3,0.03000,201.00000,-59.57304,-0.85690,1.52351,-4.42880,0.00000,-159.97935
4,0.04000,172.00000,-55.16812,0.20382,-0.14847,-2.66877,0.00000,-119.74246
5,0.05000,102.00000,-44.32774,0.77497,-0.91350,-2.56296,0.00000,-79.44902
6,0.06000,63.00000,-38.01837,0.81024,-1.19076,-2.63456,0.00000,-39.13716
7,0.07000,62.00000,-33.98753,0.82202,-1.36340,-2.72717,0.00000,1.25485
8,0.08000,58.00000,-30.99615,0.82933,-1.36946,-2.69799,1.34596,1.67709
9,0.09000,64.00000,-28.70688,0.83342,-1.46745,-2.74202,3.68711,1.85007
10,0.10000,67.00000,-26.92613,0.83423,-1.38130,-2.71881,5.42718,2.01752
11,0.11000,68.00000,-25.43138,0.83787,-1.53134,-2.76945,6.91590,2.25936
12,0.12000,67.00000,-24.09975,0.84248,-1.53430,-2.77644,8.23839,2.51348
13,0.13000,67.00000,-23.10405,0.83946,-1.48112,-2.74780,9.22595,2.73542
14,0.14000,71.00000,-21.95509,0.84376,-1.77294,-2.82881,10.52197,2.94248
15,0.15000,68.00000,-21.17584,0.84859,-1.60343,-2.78878,11.33189,3.16059
16,0.16000,61.00000,-20.50132,0.85064,-1.86808,-2.85952,12.03744,3.27087
17,0.17000,58.00000,-19.69801,0.85104,-1.77316,-2.83900,12.86143,3.33946
18,0.18000,57.00000,-19.09118,0.85177,-1.71590,-2.82825,13.49067,3.34199
19,0.19000,62.00000,-18.28753,0.85805,-1.89291,-2.86438,14.31265,3.25551
20,0.20000,65.00000,-17.79249,0.86020,-1.66408,-2.81180,14.76201,3.13385
21,0.21000,66.00000,-17.29854,0.86143,-1.92908,-2.87654,15.29793,3.10335
22,0.22000,66.00000,-16.84718,0.86610,-1.76617,-2.85533,15.69681,3.10837
23,0.23000,61.00000,-16.73491,0.86396,-1.84930,-2.87495,15.87595,3.19299
24,0.24000,58.00000,-16.26105,0.86690,-1.92910,-2.88708,16.34615,3.49390
25,0.25000,59.00000,-15.87150,0.86559,-1.81364,-2.86464,16.74204,3.79709
26,0.26000,55.00000,-15.83836,0.86162,-1.72866,-2.85732,16.86804,3.94522
27,0.27000,52.00000,-15.69107,0.86247,-1.76712,-2.85862,17.06107,4.06694
28,0.28000,47.00000,-15.50859,0.86475,-1.71240,-2.84898,17.22112,4.12832
29,0.29000,41.00000,-15.35853,0.86776,-1.82731,-2.87418,17.41942,4.02251
30,0.30000,42.00000,-15.18203,0.87078,-1.72433,-2.86480,17.58482,3.76152
31,0.31000,45.00000,-15.08394,0.87178,-1.77440,-2.88505,17.73594,3.58651
32,0.32000,41.00000,-15.06664,0.87382,-1.77724,-2.88626,17.70484,3.31915
33,0.33000,38.00000,-15.09480,0.87380,-1.74964,-2.87684,17.67190,3.03189
34,0.34000,38.00000,-15.02547,0.87222,-1.75852,-2.87619,17.75861,2.80956
35,0.35000,37.00000,-15.08132,0.87741,-1.50026,-2.81434,17.62045,2.62214
36,0.36000,41.00000,-15.18588,0.88082,-1.70976,-2.86785,17.58176,2.41047
37,0.37000,47.00000,-15.18990,0.87973,-1.54183,-2.83430,17.53599,2.15302
