centerFrame,time,voicingpred,voicingpredbinary,voicingpredsmooth
0,0.00000,uv,0,False
1,0.01000,uv,0,False
2,0.02000,uv,0,False
3,0.03000,uv,0,False
4,0.04000,SIL,0,False
5,0.05000,SIL,0,False
6,0.06000,SIL,0,False
7,0.07000,SIL,0,False
8,0.08000,SIL,0,False
9,0.09000,v,1,True
10,0.10000,v,1,True
11,0.11000,v,1,True
12,0.12000,v,1,True
13,0.13000,v,1,True
14,0.14000,v,1,True
15,0.15000,v,1,True
16,0.16000,v,1,True
17,0.17000,v,1,True
18,0.18000,v,1,True
19,0.19000,v,1,True
20,0.20000,v,1,True
21,0.21000,v,1,True
22,0.22000,v,1,True
23,0.23000,v,1,True
24,0.24000,v,1,True
25,0.25000,v,1,True
26,0.26000,v,1,True
27,0.27000,v,1,True
28,0.28000,v,1,True
29,0.29000,v,1,True
30,0.30000,v,1,True
31,0.31000,v,1,True
32,0.32000,v,1,True
33,0.33000,v,1,True
34,0.34000,v,1,True
35,0.35000,v,1,True
36,0.36000,v,1,True
37,0.37000,v,1,True
38,0.38000,v,1,True
39,0.39000,v,1,True
40,0.40000,v,1,True
41,0.41000,v,1,True
42,0.42000,v,1,True
43,0.43000,v,1,True
44,0.44000,v,1,True
45,0.45000,v,1,True
46,0.46000,v,1,True
47,0.47000,v,1,True
48,0.48000,v,1,True
49,0.49000,v,1,True
50,0.50000,v,1,True
51,0.51000,v,1,True
52,0.52000,v,1,True
53,0.53000,v,1,True
54,0.54000,v,1,True
55,0.55000,v,1,True
56,0.56000,v,1,True
57,0.57000,v,1,True
58,0.58000,v,1,True
59,0.59000,v,1,True
60,0.60000,v,1,True
61,0.61000,v,1,True
62,0.62000,v,1,True
63,0.63000,v,1,True
64,0.64000,v,1,True
65,0.65000,v,1,True
66,0.66000,v,1,True
67,0.67000,v,1,True
68,0.68000,v,1,True
69,0.69000,v,1,True
70,0.70000,v,1,True
71,0.71000,v,1,True
72,0.72000,v,1,True
73,0.73000,v,1,True
74,0.74000,v,1,True
75,0.75000,v,1,True
76,0.76000,v,1,True
77,0.77000,v,1,True
78,0.78000,v,1,True
79,0.79000,v,1,True
80,0.80000,v,1,True
81,0.81000,v,1,True
82,0.82000,v,1,True
83,0.83000,v,1,True
84,0.84000,v,1,True
85,0.85000,v,1,True
86,0.86000,v,1,True
87,0.87000,v,1,True
88,0.88000,v,1,True
89,0.89000,v,1,True
90,0.90000,v,1,True
91,0.91000,v,1,True
92,0.92000,v,1,True
93,0.93000,v,1,True
94,0.94000,v,1,True
95,0.95000,v,1,True
96,0.96000,v,1,True
97,0.97000,v,1,True
98,0.98000,v,1,True
99,0.99000,v,1,True
100,1.00000,v,1,True
101,1.01000,v,1,True
102,1.02000,v,1,True
103,1.03000,v,1,True
104,1.04000,v,1,True
105,1.05000,v,1,True
106,1.06000,v,1,True
107,1.07000,v,1,True
108,1.08000,v,1,True
109,1.09000,v,1,True
110,1.10000,v,1,True
111,1.11000,v,1,True
112,1.12000,v,1,True
113,1.13000,v,1,True
114,1.14000,v,1,True
115,1.15000,v,1,True
116,1.16000,v,1,True
117,1.17000,v,1,True
118,1.18000,v,1,True
119,1.19000,v,1,True
120,1.20000,v,1,True
121,1.21000,v,1,True
122,1.22000,v,1,True
123,1.23000,v,1,True
124,1.24000,v,1,True
125,1.25000,v,1,True
126,1.26000,v,1,True
127,1.27000,v,1,True
128,1.28000,v,1,True
129,1.29000,v,1,True
130,1.30000,v,1,True
131,1.31000,v,1,True
132,1.32000,v,1,True
133,1.33000,v,1,True
134,1.34000,v,1,True
135,1.35000,uv,0,False
136,1.36000,uv,0,False
137,1.37000,uv,0,False
138,1.38000,uv,0,False
139,1.39000,uv,0,False
140,1.40000,uv,0,False
141,1.41000,uv,0,False
142,1.42000,uv,0,False
143,1.43000,uv,0,False
144,1.44000,uv,0,False
145,1.45000,uv,0,False
146,1.46000,uv,0,False
147,1.47000,uv,0,False
148,1.48000,uv,0,False
